state,pollster,sponsor,start.date,end.date,entry.date.time..et.,number.of.observations,population,mode,biden,trump,biden_margin,other,undecided,url,include,notes
WV,Triton Poling & Research,,10/19/2020,10/20/2020,10/23/2020 19:51:00,544,lv,Online,38,58,-20,,,https://assets.documentcloud.org/documents/20398833/201021-triton-west-virgina-survey-topline-results.pdf,TRUE,
--,Echelon Insights,,10/16/2020,10/20/2020,10/23/2020 19:51:00,1006,lv,Live Phone,51,44,7,,,https://echeloninsights.com/in-the-news/october-omnibus-election-2020/,TRUE,
GA,Landmark Communications,,10/21/2020,10/21/2020,10/23/2020 19:51:00,500,lv,Live Phone,45,49,-4,,,https://www.wsbtv.com/news/local/atlanta/president-trump-widens-lead-over-joe-biden-latest-exclusive-channel-2-poll/7R643PFTRVDFHGNWHJFBVHKUCY/,TRUE,
--,Ipsos,Reuters,10/20/2020,10/22/2020,10/23/2020 19:51:00,935,lv,Online,51,43,8,,,https://e.infogram.com/7803c640-a1aa-406a-a7c4-bf9efee425d3?parent_url=https%3A%2F%2Fwww.mitchellrepublic.com%2Fnews%2Fgovernment-and-politics%2F6731229-Oct.-20-22-polling-shows-Biden-gains-in-most-areas&src=embed#async_embed,TRUE,
NC,Meredith College,,10/16/2020,10/19/2020,10/23/2020 13:18:00,732,lv,Online,48,44,4,2,,https://www.meredith.edu/assets/images/content/Meredith_College_Poll_Report_September_2020.pdf,TRUE,
MT,NYT/Siena College,,10/18/2020,10/20/2020,10/23/2020 13:18:00,758,lv,Live Phone,43,49,-6,3,,https://int.nyt.com/data/documenttools/mt101820-crosstabs/1bf52689f78606b4/full.pdf,TRUE,
FL,St Pete Polls,,10/21/2020,10/22/2020,10/23/2020 12:15:00,2527,lv,Online,49,47,2,,,http://stpetepolls.org/files/StPetePolls_2020_State_President_October21_U5GHV.pdf,TRUE,
--,Data for Progress,,10/20/2020,10/20/2020,10/23/2020 12:15:00,811,lv,Online,54,44,10,,,https://docs.google.com/spreadsheets/d/1dGGzVgmSaesL4N8JeM07YIfMsT_BJ1yflf-29y_ejcQ/edit#gid=0,TRUE,
PA,Muhlenberg College,,10/13/2020,10/20/2020,10/23/2020 12:15:00,416,lv,Live Phone,51,44,7,,,https://www.muhlenberg.edu/aboutus/polling/surveys/election/2020-octoberpapresidentialelectionsurvey/,TRUE,
--,Global Strategy Group,,10/15/2020,10/19/2020,10/23/2020 12:15:00,1000,rv,Online,53,43,10,,,https://navigatorresearch.org/wp-content/uploads/2020/10/Navigator-Full-Topline-F10.20.2020.pdf,TRUE,
MI,EPIC-MRA,,10/15/2020,10/19/2020,10/23/2020 12:15:00,600,lv,Live Phone,48,39,9,,,https://www.woodtv.com/wp-content/uploads/sites/51/2020/10/2020-EPICMRA-Omnibus-Statewide-Oct-Poll-102320.pdf,TRUE,
